hack_license,total_idle_time
0195CB82D3A71324577ACCC886D6F34B,3437100
03A5A8AB0A8D15F072704EDE0D1F795A,3474163
03B50737DAA3A26F06011773EE5029C4,3931757
03CB04E755C862D69F7770D8B0E9E803,1614360
03FA2D339732DF200F3DD2D8A6DEDDF6,1479485
045234C85378BAF62E72D7B2931CEC5E,3955203
08CF43870FE2C192B8F28688D79FD5E7,2495503
09F551435E996AF0C0E8174F09FCE735,3658213
0A6E774BDDBE70C7AD37C8FDAEB81DD6,2370600
0ADEFBFB86D1393BAF6650724EE71874,6034260
0B3AC5115B42A4FC8CF659D7CF674E59,4400831
0BBE93E495B82DB1B36E0860BFAA62B0,3816521
0BE3546561547D35E9778C7C609153A8,402540
0CAD3894DB3ED75568D24680330DA2B3,3452460
0D9743F7D862E9BDD0553ACAC5C380BD,1315800
0E498C39B5C7841995218F4DA021840D,3004555
10EC2718FA5E7E7ED5A142DA6F0FA1C1,2475407
111FDE2F01784C830EF2B75742B36DF4,396674
1B168AA2A8E013F716D0F823F3992BD5,4126602
1C0A2D48693D1C747D580B348518D0F8,861880
1F18A5A4E4851E605C59E66ACAB1950C,2478900
1FAF768CEF81CBF8DBF3487652F390F0,2785867
23136BE5807472CABCBE5DE057A4EC29,5824064
2374ED46FB0A3548B8090041AA913DC5,1668780
240DEBEED87CC4A6DD96717E9FEF3D4D,2458500
2412C471F87A362C55196605BAD9738B,3606759
25B502144BC4E7AC288477EA380B11EE,2521140
270EAE885E98999283423121080C208E,120
28C5A9259CE80BCF953D855C58AF649E,5061683
2A2D7A8C222BD9730F6972B379C99B77,1764269
2A4EDFD7FF88E9E9FC1AB940C09BE701,2642836
2A5203747D325CBC02C2D66FB4C1E4B4,4880400
2A7CC176D339C4E367B789ECA6079866,1569741
2CB1DE65DC386E04D340E638C7E48DB3,3950280
2F8C767BF989218EA1D6F3E5A608D1DC,4645976
2FDFB0F4C596CE9DDF5052707670E203,4226520
316970BCCCD6F702196EAE77D522BDD6,1478294
328E7883A129771F0E5100F2BB6D9A17,1457280
32FC997A27DCF783459318019FAE8B21,2543460
3310832E5DFE22BEAB136343966E3E8E,228090
340B41F98001AF580B0D1A173D74EF52,3492540
34E5B6B93831881722320F22B97A06BC,304353
34E7B4B51D932DE57CFCB13165619A00,4772280
351BE7D984BE17DB2FA80A748E816472,3131244
35776A283B4EA0E1E0B86CDDE35E386A,6289080
