hack_license,total_idle_time
0073D84E90301763B64DFF7123ABD0FA,2669155
007439EEDB510EF8277C567BD200B08F,2888460
009DFB1155173E088D7451FDEC84075B,3917478
00E48D05014F15C487D6675F00D8CC16,3830636
012FBB14A2AC8FD4E2AE84BDC763A0CC,2852484
0159ACD2CC2ACC81A3839568F5E23524,3955980
01F753DA1D273F049CE7D2E16587C380,1230840
025A0B3C62A987E02AEB8163D074A4DC,2039789
0267852B6EED03A5073516484EA39B3E,4450432
033BCBEBBA26993DBFE0D0F817802993,137492
035A1A81508D0CF75FB6D946A6839864,1583820
03CA866F6F0F1C5F1AD660B72CE3D581,2827570
045081DAECF31258F8679412A9ABDB76,1949238
0479A22A7A3D0B7C350BBCB7F1B1A2D8,3093479
0496F25AA8E64754E369FA01C7A0E69F,1193183
04B695471A51A1713F0C6BD2A33457AE,2257284
04E47D4AD061931AAA71248F19255329,3648328
053207191CADCC31F502C298A2A48AC5,4102810
05813BFE89F24C69BC52F0570B8ABB0E,4711080
05ADCC7AA6F40C9F3B39A297635530C7,3422400
067B9C47E66A3B95FCBBB2DC57334889,3039082
06B5E4891A882B900B269D1353B116C7,2731354
074FA0E196181F84DDACCCDDDF4EDCB5,3526894
07B077CA1C642121B3E33FD38898C87F,4596109
081B28EDA7F73E5E2C97573F0DBAC25D,3628233
08229E1677C37DF502F4671A44DBD587,2788665
0836070F6DD4B8205C48ED2723172622,4984589
092E44D2E00D4971A0E30A19DC771D59,924118
09F6C7584B7B6A47E53820566285B4BC,2123072
0A756A57C49BBA99568FC22D226585C6,4254802
0ADD5788357C2AA28D5B6F3D635BC4D6,15658
0BA31F0A8054F1BB1EAFAA78D8836F5E,3318139
0BD770CFE091553E3DFBAE43F6F0642E,3386531
0C22B1AB693B8D024CC267335F402EEC,3407954
0C440E6B37FEB551AB65794A0471EBB8,3913920
0CF6FC52A5464CB0369F862EF0C64AD3,3400620
0CF760256D36043470032167E0F328F8,2892668
0D07BABEBD0EC3F93E9A9F196153C49A,816720
0D0FC1EC81057C2EAD7F8A729BEF6A6C,3481376
0D697D526405426B18B59D93E9BB681C,2877480
0D7D469D08E8CCAF4EC3B8C020463C74,2801760
0DECA0712DEFFBA24A0A347D0E6C1A65,3957720
0F7E68B02972776B659FAEEB8C78B3E4,5845924
0FB9B5FB8140E44B981341D29F030687,2569455
0FDE99FF485ABAECF748A9E2E153E3B2,5558704
101D3112E1A7B93BCDFA9306FCEE1B88,4918440
10471071E13A2C7A2E7EAF854F3AD4F4,879360
106B234F95D8A0BA98A1CF5C32AC5369,2234422
108B18241CE401E06AAC4CF376735BF2,5646900
10B482B8CB60455718F2FB55D0CF0527,662820
115EF73A01459DCFD1A63A04C2F6962A,2944264
117B06A8C14F776264E6AF32E4BF6DD9,4202379
118DDEA082A5388CA0CB53EE15042057,7534
128616051B417EDE5B3074C0F33C23CC,1134871
1298C07B86A250B780D60B4E50AA19FC,2311065
12EBD40B9F8A46067034F1281669F138,4663680
132E29F0EC452849F48DB2A760725645,470361
13878CD53494806B75343CA6C2FA94B1,1706820
153F8C65A92C3381D1C74E0400103EB2,2155560
154011237A2ED531B16BBBDA58D01D41,1021082
