hack_license,total_idle_time
007202387C4274C570D9CB72943FC873,54
007C449884893B68BCA167A10B4F32B3,3381974
00BCAB546DE881CA95943F67AB448727,5491766
015A641E78F687A4A31DFDBD5EE526C7,3554165
0200F6738B90178B8B75EEF9E3C1988E,195000
02255123A16360777DB85DBC7500B51A,2343873
02719FF11ED7BEE6DE17194E4A042E0D,3439980
02A3739FBADC709F86696788664D8B4A,4908537
02D73216C3D260C0FD9755F75C345968,5831413
03440368AE777A908AB20B6FB052A69E,2057160
03584B078298667AD91E38D04C3EFE6B,3107888
0399F77AA65C238918B841DD3A1F028E,2191620
03C5CE955E76B9D791F9463FDD6C7520,4192835
03D26DD6AFA653BE5506111BCB8D06F5,422220
041ADE5F8D365DBF0AAF8988CAF24F6D,24014
0434C414E6286E04C2A05FF48570CC19,3197400
04744D5AE6A66C79F6CDBC94CF11A887,2504953
048880433AF4B69CEEB7FD7E8E728D9B,4001160
051BF3FD51E9EE975B3D39FB107830A0,872419
052FDC4D6087A57526BF2A649512B4BD,4240646
058C2CB7369978C511887C105D0652D6,3412500
05AAFD4FAC94294208BC92D188C1DE86,108865
068E9A3B44A87D26B1B1C872871981F5,1806666
06918214E951FA0003D1CC54955C2AB0,4005609
06C797C8080F603EE1E503F5332446F1,6394956
074DF13629B4A21ED778E6AB7C0C5F2C,811
075D674E90D3217E3C10EE17B24A87BD,4510197
0775A6582088961288B5307195EFE788,1628940
07D4ECB422EDFC1C80711DDB31A022DA,536989
081BD14616CE3FC5B622458B619E293E,2857231
08CA6FC96D6B40369BA644214E302780,3614460
08D98638C6FCD194A4B1E6992063E944,2117
08FB5EB61C651FE128A7CB568EEF2661,3867540
09174B52ACDF11B7A7AE3DC545645EDE,3358800
09323A90BB9322092FB388A8A3E8192F,4051448
098CB8604E62A4A4F23EB990CEC1F90A,2833244
09B6A09433170961B072CDF3B9E1F813,2384051
09CA23E729FE35BE7A1D196490DC14E3,3330420
09CD42F524BC02D1808575D7D0E1C111,4538520
0A093B75D0E770E1A53EDC0C1B547684,755340
0A33E7DB4CBD171F830D69EF6FA31517,280800
0AE6B8309500E3A8071356915211E266,173280
0B40889509F4FFFE03A99B3B547AD30B,3454418
0C0F590F173E6A8598868A7E444EE5A6,4544563
0C108D2E915CDA8447F223F4777E85D2,3591540
0C698293A6BB4C0E992C6D48522F0F0C,529399
0C97B57B1C196C3945303133EE8FE2FA,305930
0C9F1E3E0FEE6730D7325880D1E57FA9,492041
0CE928E6B03BBCB53850E5F3450DA9E7,2805180
0D11178ADF8B648EAF6A87F9A37F7652,3407825
0D2A41CA4D51365394E77E73D05E2B5E,158
0D6BAA2F15E40B3E89B4145DB52F4A78,3909300
0D99DF8A1493B1E7323F48BBF4B57ED7,3756254
0DAB1A64838FA29F8EFAD37DF455EB76,3941041
0DB979C06DF67A688970F2C74EA2BAB4,1023298
0DBC6F61C1EA3724AEA4D89E8E88ADFA,2803560
0DE3BFFBC9640BEA73A044BCEE00175E,3223140
0E6AED19C1605D0397146A1AD3798A17,1715919
0EF0E7602B55E45844EFD340A9C54B51,3793054
0EFEE30FB1AE98637AC1231D1E1FFA4B,4439400
0F07456359F90D6A2B2F837083E8592D,2541300
0F29AD8D250D210290C4D2F05AD5D1A2,909780
0FCBD1D788953BC35DF90F448D1FDD04,40919
10F1498EF01F2B95DDB8E5BC5335EFE6,4032180
111F82FAC082F9EB6FF87938AC26F7A6,2555029
115347554B30EC084B97C47104A211EC,3716243
116EC31626FE6FC392E5BFE319FB14D0,3816903
11D78FAF6928961BD6A21E57DB4847F9,3340786
120AADCA7511BB558811ED61145BDB1F,4038232
1274FF257DD417B74EC9076754DC2650,8216
13E92EE78798515B5FCE2DD2196FDA53,1534703
13EA4BDAD69891B315848F2EA4AE6870,2405443
141977797C1746C923248E3B8EF1143C,3515648
1421AEFE1C5A65712627B7DB162A593A,9953
14AC02F77BBAEAE8D2B6D7DD5CF591EE,5191260
1521ED338563EB4849926D796BC29466,2767701
15992BD5C10D223118245E732A7B11FD,3956907
15F6B7891A6C87EBA6496D0EE3E25547,1060321
16780B3E72BAA7A5C152C197919DCA0E,4185569
175708CACECE12DEC30922D8D9313620,2788091
176CDEED8700DADED5978617F85408E6,5092659
17FEA1891A0E1B771A19DCDA6369537D,4777140
1833798993F7E7A99DFFBE416B9E9E41,3072540
18B3669CD03E97DFC9F76166A6B946F4,1142997
190F6381598A8A3C5B5FDFB7343CEDBA,4109760
193F2E0E9120B3248995686D8548F0EE,3879776
19509A603F8303A1B37DE9DC7AB47856,2968391
19722B1FF23586DE9DDECB288335676D,2886651
19FDED374D251233A26291D12A6FEA64,3346320
1A083A09B2118A50504167EFAAA4E33B,315128
1A1A9C21B33844ACAA0D2B700EF35F38,3206880
1A52B6DB0145BBD4F9D0E35C8A274C56,4645432
1A98D2979119C1CA17DF1CB6BE340E44,2437320
1AC98054A0DB900493F6B4D468AF70A7,5745393
1B1471D62C198E15246227E9A13D47D0,3510000
1B231F7B600B0D6E3A9B1F8C8498D46A,3496720
1B7C9E70181C66714975B59AE75221BF,2703180
1BA9283E77A739C72068385F54EBECDD,3657585
1BFDE01F2116E8AEE0C9A7E45CDBD49C,4616291
1C000E12813B08BDD3E15696E56D45AD,2769623
1C9082949DA944E136B8F3DE5926BCB3,775117
1CFF0A21164D44FE59AC9BCF4ED2BE3D,4278333
1D3DAC2B6DB08B199F85C0C7CDFF8F22,4407939
1D96D5FCE6D98A4D8F1AD9CC6A0F56F6,3861180
1E8717E6330FBB448E72EEF29986D2F7,743118
1EDF4B9E3E96B7C6087CBA0F61D83291,40440
205EE1308413E939FB41BE228603297C,144543
206ED750FEED697F827D9D734A7284FC,773926
219164C8A2F4F99DB59DE5DA024D257E,2694331
