hack_license,total_idle_time
006B6BD90C7B5C98599FBF541D056513,3409020
00D26D58014073CAD8A62F793108D1F2,3574405
0182D9FF198FDAA5FBD0B871D9C46AAF,1788523
02182B348E0AD9B1332DB0F799D53A2C,2709780
0220615562AA60D689EE47676D4DD84E,147023
0228781DA8C8C8DF7E42AF78261CA649,4404178
024AABB0BC3C933AD30C41C2056949E1,2838501
0294D303980B0B63E760CA1C52549560,1616580
0373D6DC73194F0900BC715AC95EC309,2632826
0384A78A797A3EBF188C2743F56A3C07,3957178
03A691D88B8FAC990E338A2CF57C695D,2710260
03E26D2F49ACA1F3A32D5C05975941B5,5520900
0475E683179AC986678D9E0AB9074990,4534140
04DEE2D9B32C8C0C66E888E271A8A520,1057200
04E1609EA7D54FDB3EB57880A8AD82A1,1402376
0572FF55F79461517BC675CF2BF4F7C8,5892355
05B873701146D073036221850268E645,3717842
06017E80378ACC27F709A28BD7946330,2792940
062793E326EF45D3618DFF695E92FB41,1039979
0640A4A8416EE287C7A00178C5584176,440951
06452DB7A0D17E013D537EDBB3DCC196,1457501
0663ACE894976D2596F148EB20A4B6D4,4567151
07375E4F3127EC5354725C1C991C632B,2651253
073C5B9B1349BB288915B5C17CD888D1,4018708
078F7755D57DA44F57417E463E7C6619,2395024
07A8F63D58FE9C4ED0C8BD87616374EC,4095300
07D92D515CCD9D4B6ED71E12BDB7CF65,3580462
08042CA151A40CD73FC12AF7DC482E07,5744411
080B14415AAF2BA07ECAE2D0F0DF9C20,1934659
08FB3C195965E9202617D276320DBA79,3101048
0924BE33CE9E255BE278B339FAAD16A2,153058
09C1EFC9EAAB11945B214C22A14F09D0,50240
09C2705723F82FB46FE151FDAB4C2A97,164160
09CFCA98282744F2E178462D1F996393,4057902
09E9FA026609A62807D08F6143610C77,3496200
0A6F90E6646F42E5B8F01E88603843D9,2361049
0B15B4CB02AE93F013F8EC0E7FDAED0B,3510537
0BA36B789DC617274903E8CCFDED72C2,3687122
0BADD2A532410C4EAB49E76E79799EB6,3605700
0BC443EBE4B7A02856F70583F5C7585E,448475
0BDEB05362FAF444F4F2A0F954E371AC,4373220
0C021E84C60763FEC53F3C5386832FDA,3827580
0CFA20667C6A512FF96C2341959E75EA,536
0D0DB61CD1F9C60B73F2BDFC7888A6FA,1733614
0D4AAFEDBEA23D0B920F724D49DEB382,4731180
0D5AC420758EA96775D233FC8529983A,2683735
0D927DCCE01473E7C238A38F235775F3,4781940
0DA0622527F6B00572CED545D0999585,3194940
0E1CA80D3030BC3367AE7818FFC063A3,35340
0E34D3E2E63EA53D3B2FAD14661EB454,2408281
0FEAA53D18C5D250C06B68179369213E,3355860
0FEED482581A984A13CB0339887632DA,655631
10088F76DEF6F040B380A11E422823C6,71053
104DB27A2545CD687191A9F5232859D3,2819040
109192203BA9B200DD21A7C3C4C0F8E1,3208620
10D67B5232F3B78E9B7274DB68A09C89,4775040
1167EF28EEAC54FEDD1DBE1891B1855E,4241255
119FD4551B06A947ACFA328DC39AB05C,4145750
11B88D9B53618333FC6997075239096C,1445678
11DF9802E903C3EBDADB9BB42589B3FC,3839337
11F9C8E2B165160FCD8FCBC081392739,3494760
1211D5CB828FD8B12D69D66438AC299A,1255907
123E2E132BDD3E43E2F1BBB17AC0624C,3867167
124F2E235136FFE9B81AAEC65322FD5D,2007472
13C91816AF95F6514447B72559BEA179,4403567
13E075A15E4E5E4001D67BE76AE4CA7C,2292480
14422727DB42536A34C6D54F82DDAF88,4315800
1458CCF53549DB5C50FA00D29568BF47,4089811
150E5F2B3CC68C62B93C0247F0DC13FC,2090580
1570955D15F3B77756D4B9CE225199FA,3667560
160CC3ADFF2125E62A12F806C8B44442,4288860
1642A7269A533CDC1F50D07EC8CBD028,2146695
166BA528AC0859994B02C174ACF53A9E,1180256
1692AB196A882307B62C7402E1BD8F2A,1345620
1707AE2BC39FAAE854E5A4D58329ADD7,3661980
175743321566294E18C585688226471D,3617280
17F69C23B41CEC6CD82163D00D722E57,2180891
1802AECA6DAFE71170125C7F723B3324,28850
1804569E8424C3768DA9EFE91A20A0D9,3854130
189B47A9CB0392E38E0236898A888C0A,480455
18D97C8C29F964BE0EA039E39FCC08B1,317082
1919ED9C607D151B96ADFEB628FB997E,5677140
196BE27FB378E6197E6EBE5AA02D0838,4896060
1979D1F2F6EC7FE7602CB51063023B6E,4114980
19C325D50049EE47BE40B8E2F2A79625,3634200
1B883A5B7CC0FBAE80FF4844D3C0D7AA,268500
1BD12874047104377287751241BCDA3A,2225100
1C0194DD739ACB087BD4EDF08C61853D,2545230
1C2F7ED90458138130783D3337FC2CC4,4769760
1C3DFBBA24C7057BF7CB1E48E28153F0,5696448
1C7B799157D78877F01F861EB7A5303B,3133426
1CA22D5A1F86B08852D2B700102A2B51,437700
1CBA0D5FCBBCBFFDD13520A5F9FC0FA6,1696915
1CBA90C139F213118C24E0C18C1BC8E3,1788263
1CF8519513D2604B945660E71C0DB332,3214986
1D18A1008A6C41AD5343528B64AF3971,4270980
1D34441AFC74B5C484ED2CC019ADC690,4279437
1D4190EF1398B3CAFE5C88E6CF4971AF,3245742
1D9225EF48FFA0AD9894648F0336A6B5,2522580
1DA1EA63F9EB8AB476DA24B4A9E382AB,3293880
1DAF7D57E8443EA81E03A73E0ACE3976,1463340
1DBEBFDDCD9679ED9A68DBCA26EE367B,1636226
1DC7BBBE4EC338E1093B031FCD88CE09,3662411
1DFB6ABFDBAF56D39F22345566611939,3366120
1E709244AAD61A6245354AF73A734BD5,1862700
1ECD0C4C2DCF7C84F0CB7E44BBA20589,4503120
1F1E0048FD55CD0AA27E59E860D2ACEC,4869057
1F2CBBBF235AE11B38B9DDB361652681,11760
1FF4842323AC085DD0682B94B19C18C1,4096320
1FF5B09DCC7CA4BE977FE3C941987E3C,4282860
200529E789C2A4591328619F0E7C29B3,3021480
2045780F3EEDD3339E22CA6A331F08C6,85080
20B3A16B78ECE9A01165504B7C0A1ACE,628
2142A3A40E7554B7497177F0D8BEEBCB,3347756
21A8B9B7727A2DA791FBF24977CAD5C6,3160740
21B768B26C3F32874BD9BFCC103141E6,4407116
2217360DD91D516A20D56323C262798E,3217920
221CF4B03A84299546EE882DE1EE7462,3655632
22652568585FA60C11EB397265C1F232,3431435
22E82F0AD5F1C5FE1EBCAAD982512493,3393250
236745AB03BF498AB5D2196FE88D116D,2050769
236B3A909751F9639A8EBF63C6D9F087,3464940
236DC74D61B0FB4694D557A23AFD2E28,3254723
236FEEA136F74397E5894ED0F655EADA,4065300
23F9E7B6A5930317A71F5445DD63DF81,4197540
240AAAD343891E881D81C4779DBEF6FC,2307747
241ABC4DCFDC5AA86B7E9882E2208E82,2885160
251B559AB7ED55FC3C37D94C995EF29D,1670851
2590E9295518F0F96A0C572356F31ACE,1120465
2594320837E23945D3344CC6332E2214,610568
26A3BECB37B8573EE5F3E91B5F6F95BB,857205
271ACF04503BC4AEAE3EBBB424E50967,3345360
27289931C712BB565BD6BDB55F65E25D,2811392
27A2E007D46C9FE62F1C40E7B5F7B9FE,684890
27B66D16B95BA122A96AC45A9036FCAE,3436111
283615A2D05B33238EECAF0D0083B21D,3783585
286FB8197B563BE378BEAD3BBBD4DA0B,129060
2886AAEA8A28669262A9BDFCA8D670F3,2648659
28E25688EF18BCB61717B779644C30A8,2100
