hack_license,total_idle_time
000C15EFBDF58CAED528C09E597484EC,2619444
001916B0A5713FF05D936EFF82EEBA02,3533100
00360896E0AB8AEAE9A4B5915CA65CBD,4385701
005FD3D80544763EF3F582E11790BDDB,999237
00E40328ECC4327E912FE820506B38D7,4016520
00F19A8714CF5D4DF54F881F598ED80E,3815100
01006C2DC614D178B6E58BAF3BF5309F,3956400
01306A5392F70DF87BE7A9AAB2CCFB37,1837200
0187F3EFEDB10564CB1392D10877F2B6,1874587
01DA16A042F9939B1BF841218A5098C4,2368242
01F0FF952B003153460128F002528F22,3650640
022C3502B2CEF51C3EAB201222D17F8F,1652425
0247AB8F4EE49BE1BC92726C1EF1E3A8,2660383
024FC8122355B5564D09132FC2245995,164520
0263C0794089506BC7EE5039A788A23F,3400560
0281F9E8D243328BF1876904C294DAD2,4018177
02B8240A40E48F8EAEC611277DAE70AF,3492060
02B966CFE6D8AB254B38B27A114F87FA,110100
02FD3911F0953170D225388556872CB3,4361100
030E1FFFF647131A9A29C6F677F39F04,2556631
032EA8FDC230CE07E1D6D5734A917F7E,2220
04004A5C24AC04D5C689A928BF559943,3776561
041A3662FB642F305BB88A434D2B0F3C,2960520
044F93565C664F75952E2642F409CDC6,1398081
0451D83A42A7F32967919E60D7849276,1782625
045BC89654CC3A9A5CEEA0A6444A6AB0,976620
048B71905F0A058AE30B13A6D8280775,2375112
04ABAB4C000BD166CB9B115EDC490282,114328
04D467BE1823539FBB3404FD830CE6ED,1984260
04FBA49DB4478C34B18294BB5BE1F309,703290
0500CA1E3D6C4F5CCB7CE85545D69BB1,3107156
0599822041A41FF87BCDFFBB6066810A,2227300
05AE76B8A4B4A7E86D3A23C926D21A59,2871780
05F87A24F71708AE3468B0C0AECD5744,181286
06150B4FF9CD737D04567323880DDE45,3372697
0635D76F95D6D2F37A2E07EEFE863299,6292560
069F8CDCA5872E47D344F9FC13F6EFD5,3954088
07425FB1B0B6AA31B21275627B51C842,748080
07570576F0B71F31372110F17DFDB95F,5236618
076008C09A796654F59451174D4C19CE,4041698
07A87135E778BFFEC1FFEC95ADFFC13D,132449
07CEE279C3FBAC5A91E6809AD852A16C,4729620
07F3893FA56086A4238F3E9172C8D46A,3059040
084BEA6D22BB8589234B589E01D00BF1,3547136
08D4D36C7BC1E541A19814060EE7481C,2247756
08F0EFEBB1C51AADA9430A089A2050CC,81942
096D7BF6EF3D5F546C4DC8288653D986,4930389
09705CD144F735E2A1AB193A3AD0E2E4,7303
0A8E872674B7A77C776380A36B64A3C0,1758540
0ADA886630558E6303208FA575E57B02,2609516
0B5AC9C98D6D2D1DBFA52E1F784158DB,3583711
0B98E663F56F1700252319B6F0C175B1,3176089
0BA3F69A9D80AD835ACD66AAFE8E656F,3421020
0BB0CD7F77139D5835ECFFB8BE8CE85D,3633720
0BCADAA365F988EE4D5583D4D7915625,4165638
0BF52BB350B860EB5AE345A7AF8B175A,451461
0C8B8F7DBFBFA590CBE10177CCE81481,3356847
0D0473404291595950839D4102FD1EFB,430758
0E04B348FEE510C38A281CE2D419534B,1594747
0E9952CEA0B7208E14451E56DE67DDAB,2646360
0EACDB02FEBF57C622D001D0500CC467,2959932
0F393809EC6C86184A426CEFEE17CE88,4197725
102A933E5A6F43DD09A110C9B21901A3,2861520
107E6F477540735CA649286113F1A5A2,4147085
10CD7133DF01B4C2DC640EA0B9CDA601,785920
10F3E9A8852BF45A0041BB57B549408E,3490620
116D696B52EA715493291AA88F6B3DC9,153637
119EFAD45511037E01484740B19E7E2A,2794920
11A3989B7BABB288FA3FA233E348C450,4028753
11BAF36F141401322BAE52824EFEC5C7,3428853
11DFC0D7D38C2E2456689762968866A5,4916100
1238A1BD6B36D4E2B399FFF2A947FB23,654120
12415CA12F93845CF460759C04B874E4,2513974
127B7798B189A0FEAC018AF6E77796CB,5237172
129C1229D9627E4253F2AC48060CE251,1553940
12B84388A3435623A243AF7090CF0921,378540
1302D98A504D35C6C37E73711A9880FD,2195801
1322925FBA7A99138EE4D47B26298ABE,217181
13257AE386CFBC51F0D7D6AE99E0861D,3887963
139C9D215BD454811314A3ECD3C0A5DA,1228837
139F7CF89D97C65086790BB11E55880E,2262480
14073AB8E22ED6B9FEBE76C78809B779,882316
147FF731AD6E5CBA3CAAB086AB04E5B3,2018693
153DF459B1D5F23A55BF21651032F9F8,3144715
167AEBE3BAE6672833421376AA1838D3,4294260
169DA09A8814F3CD77CEEBADE2969AD4,1237333
169F592500DA48F36E0C27A04C14096E,1997445
16CDA18E19C3BC87E48281F5DFDE86ED,3360321
16CEDD3292097995D1F1C3CF5A1AFF90,773015
171FC3E2D090904617783D53BC4760CA,23169
17ADBD32E58C4B1CCBA3F05CE87DC999,14640
17E3BE0E32A5BB7616932CB70B9FB9FE,3111773
17F72121B9F612D81AC4556CC18D5514,4717213
1844B19E3705E8F2D17BD700D327ECF3,2571387
184845D5DB037E3A3C1DE2ED1B895864,3194814
184A2590FA505A81A6315CF61D3A8485,3521340
18B689ABF357A1CC10B45CC8E160E38A,4353840
1973135DBB9C7E1F9993179F3BA4633F,2607396
19B55DA0E03D6AD8979722162FCD44AF,1688457
19C180BA9D027AA6F03CC2C2C44BA138,4681020
1A0289372F378B1950D7C53DDBD5D7F3,4726394
1A4F186DCAC55AC90ABC7E35E3B5D944,3714369
1A567C71B0ACEA2082833A1C3921E5BE,2771655
1A85E6E33CF0F153BE0F1A7FD0421CD5,3589532
1A8BDF714CE7C7953E50037CA9BCDBA7,5181420
1BB1CA226DF8419A55EFA2A3CB4E2FF0,239110
1BD886C6C081B0F7905404A9375DAD59,3656280
1C6FCDE958763E06835587E94BC2CF3C,583845
1D43287CE03A3B90F18F8055811E612A,1018955
1D545E850F06EAFD2F85526E1913C07E,2149538
1D753B5A46D112EC96A80044ADC0EC65,244390
1F4ABACB3A2E38D00C2A92C3AEE5C7DC,4513760
1F4EDBF5A0341665736EFD251FBFABCC,4071437
1FF595A3A638224ED6921208F057A4AB,350197
200D138C6C8CCA3578BA28B280FBC4E4,4783299
2074407D40D209E614213EB5DA731814,2600649
219B2F4F567B36943E5031A0F1C657EF,3381651
21FF96373516AB808D3217F9D38916FF,2096501
2206D972BB4B2CE51189E4A4C9442E15,198240
22318DE74F6BDD2EAB6FE4FDCFA205BF,3397930
229A201AC29A31E8864E2C2E468AD88F,2342155
234B662C0FEB38A34DAABC7B938D2870,169440
236E67A31F2BAEC6C09B6A9DB02DA7D2,4463193
23769D858FA295E2C6EE65757641CD8F,2955422
238F10D2947900D9FCFA8D0348089D86,2528820
241FB1404D2AD4BEC2BF680B62CF3D48,4030180
244DFCE750AA3B4DC0ED1C7231BBDFDE,892283
246735D51D474F0B3A93F431CE5A3127,3688240
2482385E683814D6A517EFFBCA40079C,2829421
24873170DF89B03225BDE735EFA0EB1A,2257462
249539228BC5935183D630F22B807E32,4465536
24D08D65EB119DDE6FCAC17C7C98F8E1,3608734
255A5A5F7E12F0416BFA9D5AC31DF383,1459810
25AEA66051AE4C2F4459F1A95760068F,5693820
25C56F2D5EF1F18782B9414E045087EF,2956620
25ED177452BD2D9BD061AFBD79995F7A,5499778
260596A1C393992B6CAB01E9FBD12A6E,64208
260965A43D80E2329ADF88DA531071BD,4894215
26243AA4FF9698DFFDA0B54EBC905EFA,1016179
26570897032A9D76A8103DE3304E73AB,300390
269D12BA94ED3CC7ABEDACEE5A03B2B5,1006284
26E360A3257DFA700C6359FD5F1A6869,7147460
27B4C55047C7E1450A5DD83CCF4A6CA0,180
285DAE2DDC3601191F5AFBE05B9784F6,3445722
286AFC64E42C9AEAB9FF57DA6C375CAE,2854499
287F30AEA8CF3242D100EC3CFF5BE2DA,3136132
28941124F6E870BC4AA02F57B09E1932,4003440
28FB3F64F9E36D06F5202F7DFEB961A4,4135703
29373C314C1EE2C3A64CD2CC88CCAFF5,2110800
294EBA4355096FC5EFDD6B897C872CE7,2879197
2A11C7A659CC84839EAD9D9ECB5C2AF9,1734180
2AEE87A6564DF51C4F58F643A85B886D,5480340
2B36D07A27BB35D7DF7170C83EEAA196,3710640
2B82703C4CB042FBF7FAD87410C841B9,2597760
2C12E31BD15629EF37C52EF0B0E4E54C,444281
2C15A19D4DA990B5B3990656A7A5E74D,2894866
2D4FE5825FABAB5634A8C7179B526B2F,1271187
2DDA9B8379D24057B0AB62D3CDB15206,130547
2E108F25B93935B5171FF61B1BF6441D,4053060
2E10E6030D414A61AF7BC6CDD9EFB5FB,2636456
2E781C37F7B9105DE4CCD48913D9D7D4,2579895
2E81DD615637E20C7F50DD58E2FB9BB3,4390440
2E9A9BDBC64EFCD0AFF4AAF4089979C9,3120960
2EBE5B978AC3F7D26D7FBE1759CE0246,4198001
2ECEEFF571DC8FB713B039A478243C1C,2071200
2F4F5EFD1D503E7131249C94CF2ED7BC,2571240
2F73DEE6FE263DD408D4327A4DB9FAC4,6362280
2FCB32F75A5C7F86A78B3E16CF1229D2,2800140
2FCCC70BB562DFD3DF8C489CF240C5B0,13560
300C0F0F159446673A82B8DB44EB94FE,5176269
301BBEA9E2748B357E040D90C7B6D416,2463200
30841AB54ADBB786215E9D22A78B6E36,2290020
309C50501AEF966EA783517E45E527A2,957999
30D8804C7CC2FD096389A05C3D29CB26,5388419
31CCD318802ED9D8AFBE1EA76FE416D5,4652697
31E289214F69A6DD685614628293A1ED,551700
3219E92331615928C874C63D32616BC3,4289100
3229776055F1B4306591EED32C571EA0,3586957
32D53A85D74EEF36B59F0E08F5524870,7314
33107179AD6F119F9010212163F9FB6E,2433758
33CF9C38C8EE2286F6D280005C9313C3,4002720
34677469238D11426F7BFCCB7EAAFD1D,1132200
346B63936FA6E44E4DC4A231F26B13DD,171755
34CD6B23F99EBF215B1996FC4818743C,2642149
3507FD423E811A560331455BB51EAC6C,5106000
352F8263C0D4F3C95037D47C47910DD5,4105800
3533770C2D0E3B0C1F805DF272947B52,3526493
354CBA3E957026B021D196A9249ECD71,290981
3553A0FA0050E9E53532658D56670494,2779342
35C09ED1E3BAF03781A2C08ABD039EF5,5608112
35D149018728D7B884FA13118F61C46D,6680850
36AF864D6D5DFE4F8502E577065640B0,2444446
36F50DD421A2CCC284E08A9260B80842,3820200
3707893C871E0FCD617F4D73C0D5F77A,4290634
375BDE591AE05DF8BDAB96C4147713E4,3956640
37605021D1AB37306917D153BE5E25DA,1024883
38072A275B6EF3B2D6C6633709714A2F,4657020
3869F1FBF5188868D1065D091AA11FC4,1831500
38BA5935978A32A2187ED24220DDD0EB,4148862
39147E7A38A0473E1AA1807A87F32DA0,3048926
39332DC294293F3A1634B3B53664EE35,5100
39939B11576CB2A35F6833BDF416F65A,2651506
39BD1EE97758EC7EB5580D4E3A397C24,1201620
3A929C37D8624B724380E165DF8DEF0E,4004580
3AEF7D09C5E2426277307AFD3696C60E,3914878
3B47015213C70F620585DE87CC5FEE5D,4487880
3B49969B5CA9C38EBA8F42613C878674,1050042
3B6DFCDA33D682E6A7993979727A837B,1289880
3B9829F963201E799725F447098FFCD2,5332440
3B9BCF69BAC2D2D8E2FB2FBF52CD8C31,3990840
3BDE95995E1FC2A320624DC8FB0DB2F2,2789160
3BF4A6F874B2409F8AF73BFD78E388AD,1625700
3C325F20167A44A496EEDA054AE357C3,2651880
3C71F0D25AEBBCFAA4B80EEF7DA7AF79,1431510
3CA03EC0F399E67017125F933BD871EC,3564120
3DA41120194F193D894047A52EAF857B,237816
3DE7A4F7AFAF4C0F7F35D9E600BC0EB0,1728362
3E04D3A46E684353A6AE2445AE63534A,2688840
3E2E7AD2FE691C472CC438B96147EE51,1366620
3E3AB13C606BC3F851CE5AB3765998AA,5600419
3E8BCF533CFFB4EFAE67134DD8C5EBF5,6023911
3F04F700CC3A6072C319596C149428C2,5028420
3F5A7FEF1FA7E8B999FF6C38050E003B,5948820
3F8D67CCC92E62216B42DA2BA914AC59,1563594
3FCBC40E602323251C9D00AE0C642D45,2963700
4019297B7DF9AEFBBDB90FA8058E9EF7,3850037
4063A0AE6607935FBFD660EEFA4D2BB6,3938070
4085064BD4B8CD0CC7B8A254308398FB,3380580
40CBBD424A09630606860F19E1451E07,2920109
417DB83C08059EA6BBE2D56F738FAA06,5193826
41857D1FAEC081896A51DEBEFDE3714C,5598420
4190E948A1F7A36B2ADDD55BABF749E5,4239923
419A53990D726E8C34B11320D80EFD11,2064464
41A4F16BE340241FC541152AA7C7B9D5,17823
41C46A0BE095770F98C8C36A3B31F7EC,3109
42A9DD7981909F3A2A499A6BC1D681E6,5407768
4343916818D01C38E7B75D5951B5C36E,153373
43E0AE3984E8C95479C90DE3068C80A1,474420
4427239CD48C8C84CD313C476C846B24,3043080
443703AEBA494EEF52A5D25C7337AA0B,4699260
443ED4A8D53B8CD57E81EE8C9662DB74,3247680
44AC4DBC9F1A4C9184DBDE09388CD8AC,6123223
44E2512A687036990FC273826620E2C1,2541496
45B47077858B552EE427E2F61AA6C962,660
45FBFE227F758B842D373E47244AEC41,2558280
46CD3213549759D671B28399954B2E41,708330
4727D7C84A0819D8C1FB37D0BFAF6E7D,891274
473F7EBD49263D84C18F006E6E0A8A08,12240
47570C0E20EEC98528284FE7C80C5F13,936
47C318E319D38439DDF8DAB16469065F,4124383
481811020AF58F80D8025AD8B555133C,3458436
481FA127FDF984C0A359332284A708A8,3701627
4834A5CFCDD575DDF07A680C128302F2,1945260
48724AB3BAB09FC7A5AF2D7E0C8B8DC4,3936017
488ADA5B099186CE66CD29283418F41B,3475413
488BBCB2AE90AC56A1D1E69B6936BA31,1458384
4892A6868DF4224E2CB0DD6369CC4930,2775300
49030E99DC6676FA7A0AE152CE0C68C7,4783
4908CD081247683294299977AF2633CA,4197160
490B044FB17729E2C2F359D0FFDE08FD,3113700
49BFC2348478B8D70521E7A6AF0307EF,3235397
49C08E8F959D6ECD545529C315FD4169,732420
4A504B8ADA04DDA3FDD07FCC373DF41B,319020
4A5AD6AFC0D88CF713CED18A80D11490,2469470
4A70AC380F81D0E9F529FB2E1E762771,4178078
4AECA194152ECF304CDFE8A47D59214F,585302
4B055A45358F62B4D2DC35D5BA63D789,120
4B19FF88FFC75F9733418E62E3EB752D,4380420
4B47F53D9856A828C6E5CA9B02DEFE5F,4908397
4B4DF5819207E0D2C582AFF0DC66D9C8,5074620
4C032A2865F23C97EF0802DABC637417,3487215
4C79CC98D67288D495C9FCBBAEADFD51,3789360
4CAE80FCDB611D1C31C256E7C96309E7,3851700
4CBBF8D06EBA621AC54693EF1A5AC5C3,4042800
4D538A003B470F3F7E78352BDDAF3469,211590
4D5E5F92E2A8C6CAE05A51F5970BEBD7,2998260
4E4D56F18ED8EB7702F057DA90BDEE3D,2925364
4E681B236301DE0443A2D104011D02E1,4646884
4EB6B1EA0A09543D3A8EC78915529FF2,3580620
4ED545327970A73C4664AF476DFFA7D8,1318115
4ED879D543F8AA258DE6A9166C5437BB,1559673
4F21E796165706174E230D751D3BA2E9,3493380
4F572654109037724EE7A9B5420CE1F1,3311880
4F9319A370A01FEEE39752EEE17F46DF,2330286
5007BF3EF0B6E69F3BC5B21C5273EBBD,2501570
50862A5C08677308E46C65389B7EB390,1933735
50A68F9B79A9BA98C4A6B043485C8555,3341596
50B70C0D50EC8A4D887B3FAB5C6D99A6,4452420
513189AD756FF14FE670D10B92FAF04C,4428887
51CB5CB78FF78957EC679BB84A8ED551,3994440
526A826B5744760B7387AC70457A3D6C,2415919
52893C6A8A14F4CF4AF40457EEBF1F91,1650300
52CE8E866DB51B707C83572E054E2331,3267180
52E668C4F1E72AFBF8458ABF7FE9D1DB,3081427
536A76F94CF7535158F66CFBD4B113B6,3918
53E8C84221807D977F00C38DA55E57B5,3898620
54550554711DBF0E01C493D4EF7805F1,1184839
54D04D3E0B6889C0D1EC829FDE84BA46,2165424
54DC6A3A58A437B45D0D0EFAA9EB9829,2723278
54F7B4DBB03242B470AEA795D482A05F,4203240
550121DDA0B00D89660774A4454BC62B,3612856
555567D29365105C575CC2450E60DC9F,1767947
557B90E661AA8D4F28BF1B145FB3A24A,350066
559C4DC60690115E001C902FEFDF192E,3160598
55AD4330C407C8A6BD795B41E6C48043,2322180
5700C640EE97A31EF502FF8D9291FCCB,1583008
570C367A7CA094E35B91073420DCE013,2916780
575B936B47E0ABD47736627FC210D38B,151200
5784E1C14F0F86886979684FE698A6CB,3995580
57A0CF8CFB6F26D2C1D2E13B09E8E6C6,2398080
57DB1F3B0BD8E6DF94E0B8BF66A25B95,4639200
57E8CABE8938B9AD7004F75996F2F175,3915099
57EBBAFEA4BE1F426E3EBDA7E8202822,1701595
582899114E72849D1BA2AB8FBEF79D85,4563616
586E7D259B81641269ED3CD135C415F0,2966598
58C3D7D6E6E62F6079A0FF57AB630ED9,1938189
58CFE7D89EA55662AB71D8AA18BCB990,2839020
58E1DF852CE02524D69BCB8CF8A328EB,4582680
5941F413B5153570C53053C4E8FC1DAD,1657636
5981235031DE1A565CAFB99DCCC5ADFD,4221587
59A78684F6473765CE1795C0AA7BDF8D,1710261
59B2FE24A28EA574D1B17399D1B35AD4,5221779
59B5E790238321641006849DADFFC03F,495960
59C41A3280E4485D1C130A3AEDC580F1,2657267
5A4DAF2927FE637FE366AAD3270F1A49,586320
5A8FFBFFB27534727A1F35307DC39909,3992849
5A908EECD91FB30664AAB3DAFF0C360B,4199244
5A97DFE452BB04DADD78F058C8846A25,1588440
5AA41CCE9D80A4E3DD0C57A03F7E8B93,2992198
5B366D3526E566601737D9D3C3B730C8,3216465
5B678739DEE8973743A405F637689F3C,4754340
5CA867BAE844A61A948638D772D5D8FB,2210805
5CDAF4C9A0DBC2C2C7C0A61A7F4985EC,4579127
5D0C606C43CCDAC942BB76496CFD4EA7,3116470
5D0FC0FCE60426091D109FBE862BB2EF,5118900
5D159626B291A7EC65191C8DF373311B,3631512
5D3AC0C60642CBA1F5B9198E44BD1A46,3038362
5D3FFFA8FE54324048596B10BBCF0D5F,4026060
5D5EAF73627D77D3B0A386F822BB87FB,3285480
5DA0F667B6DB7AA35F721DD47E7F4E8E,5253545
5EF1203200B9788CE2349E3CF89F1C86,4659540
5F2DD1D6ABBDE2A5F09ADEBEAEBE2D97,1680466
5F67E8B35101ADC80D80CCF7331D31D9,277140
5FA8216CDF33FEE12EB60C71FE39B28B,2849705
5FC311181F849970119C34C3CD975259,4672260
5FD63DEA2E64FF63F9CFD28BA1994D63,7910820
60394C488DD84E0485010A1D75C14545,19929
603A1D3968FFAAB1BC6F82E4BFC9778E,1276
6042DEBAF49C796B7C0FF0E976C251E5,3038340
60448019BA030F71DC444A10D4A0336D,5223300
6103441EE8BAA97CA49809954B13000C,2759880
6160D70306D74E8D30FF34DCF37465EB,1547798
6167D856E4DA952F2938F2846172173E,2769758
619B4D72F666914C35D6D7E79B6DACC1,2632560
61FE661E89EE49FE487FDA75A336B6C3,4077337
6245E2A60F62F30B6C52EE75507B5AE2,3288699
62BC44D66731EB254A50BF61BC710C23,4742400
63069DD7839EA2D81F94A65CBE8FF201,2735975
6358B2F1B3C36AABC6037D513E2FDC66,5522107
6385ABB50EAADE59BE55042694D2AE6A,5600974
