hack_license,total_idle_time
00A6FC59DD5A56821EF1EAB483303C6A,41375
00B1DC227BA089047F1236C21B1AA1F8,2322254
00BEB24AC1A5E17BBC915E3565807296,1841940
00D0B6CE0ADA00D70908CC55C343481F,6293040
012ED2EF48AD4A67A61279F503289320,1760793
01B29D252EE4832BBECF78DDC9BFAD42,3191611
01B2B38564800F43EFCA94A914B849E6,576647
01FF2D1251D2C5B52B2F6B593AB55B18,5772941
023FF29DB569B40BE9C463784719DD38,2937540
02E6D328AD8E1D0024926CB4EC0DD60A,5546
038BE0DDA1BC21BB61312DDF0393419D,4951680
03A5594271066BDD6086E41C8EAB9897,4664880
03C4750754C7A86B2277076B3559EA65,2880600
04CD80AB04A136053BEE7665BD6ED27F,2522580
05490FF84ECB8A4A03BE58E5147429C7,2886233
05921E9472CAF0C8F31DC25715DE9DF7,809580
05E2CCEDF136D2CCA2AAEE74B60ACB9D,3757680
05E7A74A96912899CB3E034BD20DBEE2,1303263
064DD9F8AD2F50BEE58532E0EC359C48,2555852
06939E61FD322184B44132EFAAA6FA16,6921208
06A6755E160EA3D691EEFB19EADA4710,2623380
06F3DE62B3FB2CB07E93030A3245418D,1418767
0726813FE5498E6628EB22B113FE1849,603737
0735888F1653E692FE78D6B973025720,2922426
075082F960A062AF7D3692330FEEF52F,3965271
07F434FF30F37C4BC7E8E5FB5BE88DAE,2619309
0840DD8663E53AC88598003CDF850F58,3517020
08541C551BD18A9D0A5FC48ECDA067B4,1900573
086926BB8B9794FBE4CC8A048D6463F8,3401979
091EFDEC30040D22F456728F680DBF26,7047360
093A1F5CFE982DC61B8A445C403A0A93,585840
09419EAAD0590C67B6D06979DE69FFA7,557441
09440C37A4F051FC62F7ACB7F5365DE2,2397240
09446894E614E0914BF8CA239A1EE29E,2766180
0956B5AEAC2AAAA4A4D6524B00F1D1C6,1764919
09A64FCDF453AB139711A96E5D17AB67,3914400
09BCCB7C51A19F284DFC17B90EA3E0C4,4494056
09D57F9A01F3E41F636DCBDFAD4E1C55,2194031
09E10CE748A075DF960895AEAA35DE6C,3056280
0A3FEA086F238B0E318FFEBABDA6B653,3554552
0A78E9704D4BE1B39C03B4D56055F480,1541707
0A8C3EA91301974683245B6E65F56476,6971492
0AD8D9ED455E6C0A5737A7F4D508506B,3530940
0B7C6B3AD5D75022574F90653BA32475,4535580
0BAC7A55E5BF7E69765F4F086AFC337A,3385970
0D2F32B5552FF900EAD785767992198A,4532940
0D3DF841AAD8293913A96D4009435B6C,360
0D467EC1BA360355B4549B3931FFEAAB,1506075
0D99D0C6B5130C2C30A4924DFAF10436,2736440
0DB5558AD99D4A0FF8CCF911C2CAB427,3282840
0DC233C41AC1637C9AE558E30EC93336,512580
0DFDAE76662F26D9307A071F6A857803,2276877
0E125AD21419ED645545B740B7B884E7,3497352
0E38A811FEC7A0E32EA82F23D375A260,3617340
0E39C38761A2979C16432914FD9F19F7,2611294
0FCA4B1183383FC4E424A84D63D7CBF7,2702100
0FD476E9EAE85BCB8CC00DC3F06395A2,3356160
1023F5A7F1E85371C51C94C4C6DB0CBB,2437820
103AD8CAAAA8A5AC3D4E33B5D3537286,3523115
106DBB39071FE74BB5F02AB4239F797A,3291965
10AE55336D65C1DA7A044EA3F4522CE4,3616340
10F0FD1D73B011EEA2855FA2A02C612C,5157627
11188922EE6B98B1458B41722E2C681D,4183626
113D70811114DC6701D269C6D4E47B6A,3789900
11FF064CD0DB1532BB0454F8C30C5567,3360271
12775D2A4498F0EC748A4BEED90E5AD2,234606
128AC8A67F4BA6ED7119155D5366B91A,4053060
12DA50237A4AE0DBB20A1F183AFE86B7,1278780
12F39D3E8796105F6019FBCC5813FB36,2955295
13168FB671A954CD64F1A8FA1F4F7D65,3427723
137B1FCE53E2DCF80627D6FC9D4AD743,5761657
13F4EE934905036077A115A777809C5B,2233920
1439E1B9CF6F8805FFC48B3F61DA4D77,1413951
145C82D3211917A6A94C2EE8CAA4DF24,5901714
15557A2064F1C2742D3FDBFC2666FC6D,3524640
1670E3EDAB4F91CBDED520BC252B20B0,19260
172CC9178B2F03822C5C58D6DE7C99ED,4412181
1735076F27B86A649F3564F27CAC1550,6665700
177A054427D8F641661C0AE98DAD84C6,3335426
1788F05AE5E550AA038D28EC94C59A6F,1963662
17D1C45EF886B77FC6366B39A512BA78,3557316
188643FC8FD9C4903940AF5922866A87,121796
18D4467AC5C9669FC7D132FCFC526029,1572654
18DC3F04D247D78DCC413A167FC88ECF,3975293
18EDA977AFFDD303845A5E0B1360DB2F,4199908
191C640E688BA5B4DD4E861F1BA5A58C,442662
198889637F97F18AB7C53C8EC4266E11,3067620
19BF943C688686060348A3BEF7A6EE26,2855460
19F1526E51133885150B4D9F0320F9E3,1039620
